Rank,Country,Score,Change
1,Finland,90.68,3.19%
2,Iceland,90.51,6.91%
3,Sweden,90.43,5.58%
4,Denmark,89.21,4.98%
5,Slovenia,88.98,12.15%
6,Spain,88.91,10.01%
7,Portugal,88.63,10.88%
8,Estonia,88.59,5.91%
9,Malta,88.48,11.62%
10,France,88.20,8.70%
11,New Zealand,88.00,22.07%
12,United Kingdom,87.38,7.02%
13,Australia,87.22,21.75%
14,Singapore,87.04,-0.43%
15,Croatia,86.98,22.37%
16,Switzerland,86.93,4.71%
17,Norway,86.90,5.73%
18,Austria,86.64,10.44%
19,Ireland,86.60,3.48%
20,Luxembourg,86.58,5.15%
21,Greece,85.81,27.92%
22,Latvia,85.71,8.02%
23,Lithuania,85.49,9.25%
24,Slovakia,85.42,10.40%
25,Canada,85.06,5.17%
26,United States,84.72,10.93%
27,Czech Republic,84.67,7.85%
28,Hungary,84.60,11.54%
29,Italy,84.48,8.43%
30,Germany,84.26,8.43%
31,Azerbaijan,83.78,18.10%
32,Russian Federation,83.52,24.34%
33,Bulgaria,83.40,12.01%
34,Romania,83.24,28.93%
35,Belarus,82.30,3.77%
36,Netherlands,82.03,8.09%
37,Armenia,81.60,13.19%
38,Poland,81.26,8.12%
39,Japan,80.59,5.72%
40,Cyprus,80.24,8.51%
41,Belgium,80.15,10.43%
42,Costa Rica,80.03,15.33%
43,Argentina,79.84,5.40%
44,Ukraine,79.69,25.38%
45,Cuba,79.04,8.81%
46,Brazil,78.90,16.94%
47,Montenegro,78.89,21.07%
48,Serbia,78.67,14.90%
49,Israel,78.14,5.21%
50,Macedonia,78.02,18.81%
51,Panama,78.00,7.00%
52,Chile,77.67,5.75%
53,Tunisia,77.28,15.71%
54,Jamaica,77.02,20.02%
55,Moldova,76.69,9.09%
56,Venezuela,76.23,5.20%
57,Colombia,75.93,14.84%
58,Dominican Republic,75.32,24.74%
59,Fiji,75.29,23.22%
60,Taiwan,74.88,26.96%
61,Albania,74.38,27.10%
62,Trinidad and Tobago,74.34,8.51%
63,Malaysia,74.23,13.05%
64,Morocco,74.18,24.65%
65,Uruguay,73.98,12.96%
66,Philippines,73.70,16.36%
67,Mexico,73.59,10.69%
68,Belize,73.55,16.34%
69,Kazakhstan,73.29,25.80%
70,Dominica,73.25,18.43%
71,Kyrgyzstan,73.13,23.53%
72,Tajikistan,73.05,16.82%
73,Peru,72.95,21.89%
74,Jordan,72.24,30.09%
75,Guyana,71.14,19.62%
76,Bolivia,71.09,20.02%
77,Mauritius,70.85,8.75%
78,Namibia,70.84,28.82%
79,Botswana,70.72,19.22%
80,South Korea,70.61,6.01%
81,South Africa,70.52,15.19%
82,Paraguay,70.36,17.01%
83,Algeria,70.28,3.69%
84,Turkmenistan,70.24,20.96%
85,Samoa,70.20,27.04%
86,Bahrain,70.07,7.45%
87,Qatar,69.94,30.05%
88,Guatemala,69.64,20.51%
89,Honduras,69.64,19.78%
90,Equatorial Guinea,69.59,27.81%
91,Thailand,69.54,17.68%
92,United Arab Emirates,69.35,26.32%
93,The Bahamas,69.34,8.04%
94,Lebanon,69.14,35.22%
95,Saudi Arabia,68.63,25.42%
96,Suriname,68.58,-2.20%
97,El Salvador,68.07,15.26%
98,Brunei Darussalam,67.86,19.28%
99,Turkey,67.68,7.31%
100,Gabon,67.37,10.37%
101,Syrian Arab Republic,66.91,37.45%
102,Tonga,66.86,7.94%
103,Ecuador,66.58,2.38%
104,Egypt,66.45,37.21%
105,Iran,66.32,15.46%
106,Zambia,66.06,30.76%
107,Indonesia,65.85,10.45%
108,Sri Lanka,65.55,3.51%
109,China,65.10,12.73%
110,Bhutan,64.99,8.06%
111,Georgia,64.96,11.77%
112,Seychelles,64.92,1.25%
113,Kuwait,64.41,45.26%
114,Mongolia,64.39,21.97%
115,Nicaragua,64.19,6.82%
116,Iraq,63.97,8.24%
117,Senegal,63.73,22.70%
118,Uzbekistan,63.67,0.79%
119,Libya,63.29,26.18%
120,Bosnia and Herzegovina,63.28,16.11%
121,Grenada,63.28,10.92%
122,Antigua and Barbuda,62.55,4.95%
123,Kenya,62.49,25.36%
124,Swaziland,60.63,24.22%
125,Kiribati,60.48,14.52%
126,Oman,60.13,27.34%
127,C̫te d'Ivoire,59.89,12.20%
128,Congo,59.56,25.84%
129,Zimbabwe,59.25,5.00%
130,Ghana,58.89,22.46%
131,Viet Nam,58.50,20.67%
132,Tanzania,58.34,31.19%
133,Nigeria,58.27,18.75%
134,Vanuatu,57.74,14.50%
135,Uganda,57.56,22.13%
136,Cameroon,57.13,22.33%
137,Maldives,57.10,22.17%
138,Timor-Leste,55.79,33.66%
139,Guinea,55.40,22.32%
140,Barbados,54.96,14.31%
141,India,53.58,20.87%
142,The Gambia,52.09,20.33%
143,Cape Verde,51.98,15.64%
144,Pakistan,51.42,16.07%
145,Angola,51.32,16.53%
146,Cambodia,51.24,17.52%
147,Rwanda,50.34,6.09%
148,Lao People's Democratic Republic,50.29,8.52%
149,Nepal,50.21,14.53%
150,Yemen,49.79,17.29%
151,Malawi,49.69,19.97%
152,Comoros,49.20,48.78%
153,Myanmar,48.98,1.30%
154,Sao Tome and Principe,48.28,38.26%
155,Guinea-Bissau,48.20,15.56%
156,Papua New Guinea,48.02,15.93%
157,Lesotho,47.17,32.46%
158,Solomon Islands,46.92,8.41%
159,Central African Republic,46.46,7.37%
160,Mauritania,46.31,20.88%
161,Togo,46.10,18.51%
162,Sierra Leone,45.98,16.58%
163,Ethiopia,45.83,14.75%
164,Djibouti,45.29,36.17%
165,Burkina Faso,43.71,16.10%
166,Benin,43.66,16.21%
167,Liberia,43.42,11.33%
168,Burundi,43.37,11.12%
169,Haiti,43.28,12.04%
170,Sudan,42.25,13.54%
171,Democratic Republic of Congo,42.05,14.55%
172,Mozambique,41.82,11.79%
173,Bangladesh,41.77,3.21%
174,Mali,41.48,14.62%
175,Chad,37.83,12.49%
176,Afghanistan,37.50,21.24%
177,Niger,37.48,12.82%
178,Madagascar,37.10,11.21%
179,Eritrea,36.73,12.32%
180,Somalia,27.66,4.93%